dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
6_hist_fig_isamerican,xgboost,531,0.9148933951852992,0.9149507609668756,0.9682873696890812,0.9591836734693876
6_hist_fig_isamerican,mlp,531,0.9310626462761694,0.9310653536257834,0.9733389089749128,0.9575830332132852
6_hist_fig_isamerican,logreg,737,0.9385117680953076,0.9385265133740028,0.9798421593068382,0.9917321207110376
6_hist_fig_isamerican,pca,737,0.923501935944794,0.9235100891600188,0.9690015394741563,0.99338569656883
6_hist_fig_isamerican,knn,737,0.9176437498523908,0.9176442984514313,0.9657976231188456,0.9760231500620092
6_hist_fig_isamerican,xgboost,737,0.9229669337782866,0.9230408259033318,0.9748366111661756,0.9888383629599008
6_hist_fig_isamerican,mlp,737,0.940386553344648,0.9404035664007508,0.9758559540170454,0.99338569656883
6_hist_fig_isamerican,logreg,1024,0.9363199189681124,0.9363522012578616,0.976394223418012,0.995998399359744
6_hist_fig_isamerican,pca,1024,0.9272910326368926,0.9272955974842768,0.9718319985337288,0.9883953581432572
6_hist_fig_isamerican,knn,1024,0.9065644111102684,0.9066666666666666,0.9585313845832923,0.9907963185274108
6_hist_fig_isamerican,xgboost,1024,0.932041786212356,0.9320754716981132,0.9775408869928176,0.993997599039616
6_hist_fig_isamerican,mlp,1024,0.9431296811677016,0.9431446540880504,0.979082091947761,0.990796318527411
7_hist_fig_ispolitician,logreg,2,0.4507582074204834,0.5211126676005603,0.5732562040028182,1.0
7_hist_fig_ispolitician,pca,2,0.4544746954824686,0.4578747248349009,0.4374842010463112,1.0
7_hist_fig_ispolitician,knn,2,0.4544746954824686,0.4578747248349009,0.4578905221015548,1.0
7_hist_fig_ispolitician,xgboost,2,0.3332221614489707,0.4998999399639784,0.5,0.5
7_hist_fig_ispolitician,mlp,2,0.4070887931553887,0.494296577946768,0.4992827395169437,1.0
7_hist_fig_ispolitician,logreg,3,0.4885142315906539,0.5114091273018415,0.55089515968259,1.0
7_hist_fig_ispolitician,pca,3,0.503245710449159,0.5270216172938351,0.5827528315686977,1.0
7_hist_fig_ispolitician,knn,3,0.5273414724551788,0.5538430744595677,0.5538430744595677,1.0
7_hist_fig_ispolitician,xgboost,3,0.3333333333333333,0.5,0.5,0.5
7_hist_fig_ispolitician,mlp,3,0.5138159834635668,0.5198158526821457,0.5302894036606387,1.0
7_hist_fig_ispolitician,logreg,4,0.5636456234059698,0.5797797797797798,0.5962947370311147,0.5
